GEOM_X;GEOM_Y;TERYT_KOD;ULICA_NR
7428486,433;5547026,515;1467;b³onie-beszcz_24
7428414,65;5547049,21;1467;b³onie-beszcz_27
7428390,056;5547052,175;1467;b³onie-beszcz_28
7428529,302;5547093,105;1467;b³onie-beszcz_25
7429073,271;5548788,77;22586;tabaczna_1
7429089,072;5548922,965;13996;narciarska_15
7429149,195;5548844,219;13996;narciarska_14
7429297,668;5548712,245;5300;ga³czyñskiego_14
7429304,609;5548712,585;5300;ga³czyñskiego_16
7429310,894;5548712,43;5300;ga³czyñskiego_18
7429316,408;5548714,06;5300;ga³czyñskiego_20
7429322,844;5548714,055;5300;ga³czyñskiego_22
7429328,777;5548714,975;5300;ga³czyñskiego_24
7429335,018;5548715,07;5300;ga³czyñskiego_26
7429340,623;5548716,295;5300;ga³czyñskiego_28
7429346,959;5548715,855;5300;ga³czyñskiego_30
7429352,102;5548716,165;5300;ga³czyñskiego_32
7429350,963;5548758,585;23196;tuwima_7
7429981,194;5550139,825;180;albertyñskie_15
7430009,168;5550084,555;180;albertyñskie_14
7429959,144;5550048,575;180;albertyñskie_13
7430020,9;5550034,945;14200;niepodleg³oœci_3
7429877,829;5550006,259;180;albertyñskie_23
7429924,76;5550196,507;180;albertyñskie_16
7429849,155;5549931,925;14200;niepodleg³oœci_4
7429920,604;5549757,845;14200;niepodleg³oœci_19
7429922,689;5549855,955;14200;niepodleg³oœci_7
7429981,213;5549782,705;14200;niepodleg³oœci_18
7430020,517;5549764,35;14200;niepodleg³oœci_17
7430055,76;5549745,751;14200;niepodleg³oœci_16
7430096,623;5549726,89;14200;niepodleg³oœci_15
7430138,338;5549720,265;14200;niepodleg³oœci_14
7431176,225;5549902,985;5923;górali_17
7431240,953;5549888,409;5923;górali_15
7431265,585;5549842,155;5923;górali_14
7431219,233;5549809,43;5923;górali_13
7431202,971;5549777,85;5923;górali_11
7431154,134;5549762,415;5923;górali_12
7431213,314;5549854,218;5923;górali_16
7431156,981;5549864,62;5923;górali_18
7431113,53;5549871,838;5923;górali_20
7431075,289;5549863,592;5923;górali_21
7431048,584;5549884,749;5923;górali_22
7431038,672;5549791,702;5923;górali_4
7431032,023;5549736,487;5923;górali_5
7431054,155;5549758,23;5923;górali_5a
7431103,336;5549793,061;5923;górali_19
7430541,511;5549778,876;22724;teatralne_5
7430501,705;5550881,299;4916;fatimska_152
7430450,066;5550968,882;4916;fatimska_182
7430417,705;5551082,429;4916;fatimska_220
7430417,01;5551119,22;4916;fatimska_228
7431088,514;5550800,13;12024;makuszyñskiego_19
7431162,55;5550768,89;12024;makuszyñskiego_17
7430520,015;5550729,806;4916;fatimska_102
7430519,359;5550698,843;4916;fatimska_76
7430535,685;5550666,53;4916;fatimska_72
7430539,3;5550653,83;4916;fatimska_70
7430650,28;5550683,31;4916;fatimska_46
7430608,121;5550506,215;3018;cienista_90
